V1;V2;V3;V4
8.9.9.9.1.47.01;  PASSIVOS ORIGINADOS DO ATUFOLHA A     ;        7.023.064,93 ;C
8.9.9.9.1.48.01;  ATIVOS DAU CLASSE A - CRED TRIBUT.    ;  228.834.829.020,93 ;C
8.9.9.9.1.48.02;  ATIVOS DAU CLASSE B - CRED.TRIBUT.    ;  482.129.047.700,60 ;C
8.9.9.9.1.48.03;  ATIVOS CONTING.DAU CL.C-CRED TRIBU    ;  230.803.838.463,90 ;C
8.9.9.9.1.48.04;  ATIVOS CONTING. DAU CL.D-CRED.TRIB    ;1.028.929.497.579,42 ;C
8.9.9.9.1.48.05;  ATIVOS  DAU CLASSE A - CRED PREV.     ;   48.368.264.613,05 ;C
8.9.9.9.1.48.06;  ATIVOS  DAU CLASSE B - CRED PREV.     ;  187.719.848.428,29 ;C
8.9.9.9.1.48.07;  ATIVOS CONTING. DAU CLASSE C - CRE    ;  124.554.598.614,90 ;C
8.9.9.9.1.48.08;  ATIVOS CONTING. DAU CLASSE D - CRE    ;  281.996.224.023,98 ;C
8.9.9.9.1.48.09;  ATIVOS DAU CLASSE A - CRED NAO TRI    ;    3.642.584.339,80 ;C
8.9.9.9.1.48.10;  ATIVOS DAU CLASSE B - CRED.NAO TRI    ;   12.115.007.064,43 ;C
8.9.9.9.1.48.11;  ATIVOS CONTING. DAU CL.C-CRED.NAO     ;    7.499.025.910,86 ;C
8.9.9.9.1.48.12;  ATIVOS CONTING.DAU CL.D-CRED.NAO T    ;   73.398.626.423,47 ;C
8.9.9.9.1.48.13;  ATIVOS CONTING.DAU CLAS 'C' CRED.P    ;                0,00 ; 
8.9.9.9.1.48.14;  ATIVOS CONTING.DAU CLAS 'D' CRED P    ;                0,00 ; 
8.9.9.9.1.48.15;  ATIV.CONTING.DAU CLAS 'C' CRED.PIS    ;                0,00 ; 
8.9.9.9.1.48.16;  ATIV.CONTING.DAU CLAS 'D' CRED PIS    ;                0,00 ; 
8.9.9.9.1.49.01;  ATIVOS CONTINGENTES PREVISTOS         ;   66.173.915.166,58 ;C
8.9.9.9.1.49.02;  ATIVOS CONTINGENTES CONFIRMADOS       ;       86.706.410,89 ;C
8.9.9.9.1.49.03;  ATIVOS CONTINGENTES NÃO CONFIRMADO    ;        3.347.845,64 ;C
8.9.9.9.1.51.01;  OPERAÇÕES EQUALIZADAS / PRINCIPAL     ;    2.021.256.032,76 ;C
8.9.9.9.1.51.03;  OPERAÇÕES EQUALIZADAS/ATUALIZ/MONE    ;           80.760,01 ;C
8.9.9.9.1.51.04;  OPERAÇÕES EQUALIZADAS / PRINCIPAL     ;    2.765.091.707,95 ;C
8.9.9.9.1.51.06;  OPERAÇÕES EQUALIZADAS/ATUALIZ/MONE    ;        2.740.557,39 ;C
8.9.9.9.1.51.07;  OPERAÇÕES EQUALIZADAS / PRINCIPAL     ;            8.945,87 ;C
8.9.9.9.1.51.09;  OPERAÇÕES EQUALIZADAS/ATUALIZ/MONE    ;            3.385,08 ;C
8.9.9.9.1.51.10;  REMUNERACÃO CUSTOS ADMINISTRATIVOS    ;       15.278.270,55 ;C
8.9.9.9.1.51.11;  REMUNERACAO DOS CUSTOS ADMINISTRAT    ;        4.328.418,99 ;C
8.9.9.9.1.51.12;  REMUNERACAO DOS CUSTOS ADMINISTRAT    ;                0,00 ; 
8.9.9.9.1.51.13;  INDENIZAÇÕES PROAGRO - EXERCÍCIO C    ;    1.384.009.233,00 ;C
8.9.9.9.1.52.01;  OPERACOES ESPECIAIS REEMBOLSADAS -    ;      456.769.908,44 ;C
8.9.9.9.1.52.02;  OPERACOES ESPECIAIS REEMBOLSADAS -    ;       10.259.840,80 ;C
8.9.9.9.1.52.03;  OPERACOES ESPECIAIS REEMBOLSADAS -    ;          234.299,40 ;C
8.9.9.9.1.52.06;  RECEITA ALIENAÇÃO ESTOQUES ESTRATÉ    ;       37.155.966,89 ;C
8.9.9.9.1.52.07;  REC.ALIENAÇÃO DE ESTOQ.DEST.VENDA     ;       21.144.918,98 ;C
8.9.9.9.1.52.08;  RECUPERAÇÃO DESPESAS DE EXERCÍCIOS    ;        2.795.940,16 ;C
8.9.9.9.1.52.09;  RECEITA DIFERENCIAL ENCARGO TOMADO    ;        8.847.662,70 ;C
8.9.9.9.1.52.10;  EMPRESTIMOS REEMBOLSADOS - PRINCIP    ;    4.127.683.335,29 ;C
8.9.9.9.1.52.11;  EMPRÉSTIMOS REEMBOLSADOS - JUROS      ;    3.516.463.863,22 ;C
8.9.9.9.1.52.12;  EMPRÉSTIMOS REEMBOLSADOS - SANÇÕES    ;        6.767.158,11 ;C
8.9.9.9.1.52.13;  RESTITUIÇÃO DE REEMBOLSO (PI+BANCO    ;            1.143,70 ;D
8.9.9.9.1.52.14;  RESTITUIÇÃO DE REEMBOLSO (CNPJ)       ;           36.874,96 ;D
8.9.9.9.1.54.01;  DÍVIDA MOBILIÁRIA EXTERNA - VAR.CA    ;   16.092.912.543,86 ;C
8.9.9.9.1.54.02;  DÍVIDA MOBILIÁRIA EXTERNA - VAR.CA    ;   29.283.883.841,88 ;C
8.9.9.9.1.54.03;  DÍVIDA MOBILIÁRIA EXTERNA - JUROS     ;    3.278.774.692,28 ;C
8.9.9.9.1.54.04;  DÍVIDA MOBILIÁRIA EXTERNA - JUROS     ;   11.972.890.782,53 ;C
8.9.9.9.1.55.01;  MOBILIÁRIA INTERNA MERCADO - CORR.    ;  228.172.937.606,59 ;C
8.9.9.9.1.55.02;  MOBILIÁRIA INTERNA MERCADO - CORR.    ;        6.377.239,89 ;C
8.9.9.9.1.55.03;  MOBILIÁRIA INTERNA MERCADO - JUROS    ;   46.358.119.049,28 ;C
8.9.9.9.1.55.04;  MOBILIÁRIA INTERNA MERCADO - JUROS    ;   72.962.460.230,66 ;C
8.9.9.9.1.55.05;  MOBILIÁRIA INTERNA BCB - CORR.MONE    ;   88.186.403.938,03 ;C
8.9.9.9.1.55.07;  MOBILIÁRIA INTERNA BCB - JUROS/ENC    ;   22.362.655.601,77 ;C
8.9.9.9.1.55.08;  MOBILIÁRIA INTERNA BCB - JUROS/ENC    ;   32.821.159.232,86 ;C
8.9.9.9.1.56.01;  DÍVIDA CONTRATUAL EXTERNA - VAR.CA    ;      698.243.077,95 ;C
8.9.9.9.1.56.02;  DÍVIDA CONTRATUAL EXTERNA - VAR.CA    ;    3.121.626.570,71 ;C
8.9.9.9.1.56.03;  DÍVIDA CONTRATUAL EXTERNA - JUROS     ;       85.622.372,28 ;C
8.9.9.9.1.60.00;  CONTROLE DE ENCARGOS (TAXA SELIC)     ;    7.792.696.335,70 ;C
8.9.9.9.1.61.01;  MOBILIARIA INTERNA MERCADO - INGRE    ;        2.052.627,64 ;C
8.9.9.9.1.61.02;  MOBILIARIA INTERNA MERCADO - BAIXA    ;    4.007.176.947,71 ;C
8.9.9.9.1.61.03;  MOBILIARIA INTERNA BCB - INGRESSO     ;    4.007.176.947,71 ;C
8.9.9.9.1.61.04;  MOBILIARIA INTERNA BCB - BAIXA        ;        2.052.627,64 ;C
8.9.9.9.1.62.00;  CONTROLE DE TRANSFERENCIAS CONSTIT    ;        3.157.263,68 ;C
8.9.9.9.1.63.00;  PAGAMENTO DE GARANTIAS - LC 173/20    ;           90.848,82 ;C
8.9.9.9.1.65.00;  REMUNERACAO BRUTA DAS DISP DO TESO    ;   61.901.883.228,06 ;C
8.9.9.9.1.66.01;  CREDITOS PREVIDENCIARIOS              ;      702.442.311,23 ;C
8.9.9.9.1.66.02;  DEMAIS CREDITOS                       ;    4.879.072.481,28 ;C
8.9.9.9.1.69.01;  ATIVOS CONTING.DAU CLAS 'C' CRED.P    ;  124.554.598.614,90 ;C
8.9.9.9.1.69.02;  ATIVOS CONTING.DAU CLAS 'D' CRED P    ;  281.996.224.023,98 ;C
8.9.9.9.1.69.03;  ATIV. CONTING.DAU CLAS 'C' CRED PI    ;   13.158.949.022,20 ;C
8.9.9.9.1.69.04;  ATIV.CONTING.DAU CLAS 'D' CRED PIS    ;   56.800.286.804,86 ;C
8.9.9.9.2.01.01;  BENS DE ESTOQUE A RECEBER             ;    1.109.896.541,45 ;C
8.9.9.9.2.01.02;  BENS DE ESTOQUE ENVIADOS              ;    1.185.085.988,75 ;C
8.9.9.9.2.02.01;  BENS MOVEIS A RECEBER                 ;    1.080.081.761,81 ;C
8.9.9.9.2.02.02;  BENS MOVEIS ENVIADOS                  ;    1.139.546.037,91 ;C
8.9.9.9.2.03.01;  TITULOS E VALORES                     ;      370.057.185,24 ;C
8.9.9.9.2.03.02;  CHEQUES DEVOLVIDOS                    ;          113.186,44 ;C
8.9.9.9.3.01.00;  IMPORTACOES DE MATERIAIS              ;   15.039.361.348,72 ;C
8.9.9.9.3.02.00;  IMPORTACOES DE BENS                   ;   14.094.606.626,83 ;C
8.9.9.9.6.00.00;  CREDORES - COMPRAS CENTRALIZADAS      ;      364.353.241,01 ;C
8.9.9.9.9.00.00;  DIVERSOS CONTROLES                    ;    3.895.756.922,03 ;C
9.9.9.9.9.99.99;  **********************************    ;                0,00 ; 
